1150, 5.0
1362, 8.8
1912, 5.0
2050, 4.7
2787, 4.9
2827, 8.3
2989, 5.0
3065, 7.1
3158, 6.9
3192, 6.8
3584, 7.7
3585, 6.8
4285, 5.2
4381, 5.7
4913, 5.4
5371, 4.8
5413, 5.2
5652, 5.7
7478, 9.2
8083, 8.9
9353, 6.5
9749, 8.6
9799, 7.1
10546, 6.2
10687, 5.9
10853, 6.4
11654, 5.7
11741, 5.3
12137, 6.7
12168, 5.3
12170, 9.0
12197, 7.1
12249, 7.6
12251, 6.3
12295, 5.7
12298, 8.3
12301, 5.3
12331, 8.8
12333, 5.3
12409, 9.2
12410, 5.8
12452, 5.5
12453, 7.8
12454, 8.4
12505, 5.5
12536, 9.0
12538, 8.1
12568, 9.9
12569, 7.5
12572, 6.7
12574, 6.2
12622, 7.8
12889, 10.9
12892, 7.5
12929, 9.1
12933, 4.6
12934, 9.9
12938, 7.3
13108, 5.1
13149, 9.5
13338, 8.4
13370, 4.9
13377, 8.0
13383, 6.5
13415, 8.5
13417, 5.1
13426, 8.4
13462, 7.1
13568, 8.7
13615, 12.7
13655, 4.9
13736, 9.3
14083, 8.0
14084, 6.1
14120, 8.1
14122, 6.4
14124, 7.3
14159, 8.4
14160, 8.0
14207, 9.9
14208, 18.0
14210, 6.3
14212, 7.3
14255, 6.1
14312, 7.6
14313, 5.7
14349, 5.6
14494, 8.1
14533, 6.7
14752, 4.9
14799, 6.6
14865, 6.1
15001, 4.8
15060, 11.1
15142, 16.3
15709, 4.6
16231, 6.4
16348, 8.3
16774, 6.0
17168, 7.4
17216, 5.4
17278, 6.1
17402, 5.2
18869, 6.7
19145, 14.8
19355, 4.6
19418, 5.2
20636, 4.7
21094, 4.9
21154, 7.2
21264, 4.7
21375, 7.8
21810, 9.8
22000, 8.2
22638, 7.0
22690, 4.6
22700, 6.0
22833, 4.7
23261, 7.1
23304, 6.7
23476, 12.1
23579, 12.3
24762, 8.2
24857, 6.1
25580, 4.7
25649, 4.7
26141, 5.0
26378, 8.5
26499, 6.4
26658, 5.5
26747, 7.5
27043, 7.0
27273, 4.6
27329, 9.1
27330, 9.1
27416, 5.8
27483, 5.6
27484, 7.5
28058, 13.2
28137, 5.2
29579, 5.8
29967, 4.8
30250, 6.4
30901, 11.7
31000, 5.3
31030, 5.2
31034, 4.9
31688, 11.7
31794, 7.4
32161, 7.3
32460, 6.6
32688, 6.0
33109, 6.2
33253, 9.6
33254, 10.4
33506, 5.7
33605, 17.9
33698, 11.1
33756, 9.6
33969, 10.9
33997, 5.2
34771, 9.5
34933, 5.7
35432, 6.4
35589, 5.4
35627, 5.7
35874, 7.4
35905, 7.9
35947, 5.9
35980, 5.9
36859, 5.4
36971, 4.9
37235, 4.6
37371, 6.6
37431, 11.8
37618, 8.6
37626, 10.3
37770, 4.6
37882, 4.6
37884, 4.6
37890, 4.6
38403, 6.7
38647, 9.3
38898, 8.0
38920, 8.1
38921, 8.4
38922, 8.6
38923, 8.2
38986, 13.5
39085, 12.2
39169, 7.6
39497, 12.7
39823, 6.4
40205, 8.3
40267, 7.7
40308, 4.6
40348, 6.7
40843, 7.5
40851, 10.2
40984, 5.1
41611, 9.2
41709, 6.2
42033, 6.3
42051, 7.0
42318, 7.4
42408, 9.7
42462, 6.3
42647, 6.9
42648, 4.7
42793, 5.1
42816, 7.9
42875, 6.3
42939, 7.2
42960, 7.7
43487, 5.0
43797, 5.2
43837, 5.5
43973, 7.7
44209, 6.3
44345, 5.2
44651, 5.3
44783, 13.1
45067, 5.1
45327, 4.7
45438, 6.4
45634, 5.1
